repeat_family	meth_CpG	meth_CHG	meth_CHH	unmeth_CpG	unmeth_CHG	unmeth_CHH	within_meth_C	outside_meth_C	odds_ratio_meth_C	fisher_p_meth_C	within_meth_CpG	outside_meth_CpG	odds_ratio_meth_CpG	fisher_p_meth_CpG	within_meth_CHG	outside_meth_CHG	odds_ratio_meth_CHG	fisher_p_meth_CHG	within_meth_CHH	outside_meth_CHH	odds_ratio_meth_CHH	fisher_p_meth_CHH
DNA	9045	1478	9422	715507	611891	3424780	0.017492376411032694	0.9825076235889673	1.389426816520025	0.0	0.012424552949612222	0.9875754470503878	1.1162672130800562	3.105837935095597e-24	0.01218536931232635	0.9878146306876736	1.4779342551181531	1.1273774268455962e-44	0.03238646519365883	0.9676135348063412	2.2875634644873286	0.0
LINE	51790	6222	21889	5443440	7306617	39050072	0.07007562635336793	0.929924373646632	0.47107256985894247	0.0	0.07114069621452924	0.9288593037854708	0.8267140614072273	0.0	0.051297271895327845	0.9487027281046722	0.49297465019288383	0.0	0.07523958147144959	0.9247604185285504	0.41345952818146575	0.0
LTR	6515	3219	9336	692330	722940	2301044	0.016724974588036776	0.9832750254119632	1.7021776610283779	0.0	0.008949249581727322	0.9910507504182727	0.8283381535092081	2.3669043442646015e-54	0.026539041824342708	0.9734609581756573	2.7604000487037923	0.0	0.03209085534366364	0.9679091446563364	3.3888004399798755	0.0
Low_complexity	2972	379	1142	122571	146508	1033141	0.003940498732252188	0.9960595012677478	1.1371516235787316	4.106480965578682e-17	0.004082451228993645	0.9959175487710064	2.1429835913133646	1.0639914343479692e-292	0.003124665067233888	0.9968753349327661	1.5783941277767937	1.7439567725556107e-16	0.003925423822029121	0.9960745761779709	0.9019745272095196	0.0004474976848475293
RC	712	378	1554	20987	22737	83501	0.002318869051429955	0.99768113094857	6.859776615662016	0.0	0.0009780300387091103	0.9990219699612909	2.9938062905412446	3.702364199119618e-133	0.0031164205683757514	0.9968835794316242	10.160629651997596	1.1523625187576335e-233	0.005341601242936299	0.9946583987570637	15.268826596272755	0.0
SINE	123	16	27	5593	5202	20013	0.00014558708870551152	0.9998544129112945	1.7751377417360368	1.269938445542835e-11	0.00016895743646238844	0.9998310425635376	1.9395766037268078	3.986579645894141e-11	0.00013191198173019054	0.9998680880182698	1.8746335758502677	0.023315774684415574	9.280774360314033e-05	0.9999071922563969	1.1013574114944276	0.6121760007120671
Satellite	1614	1064	2423	66170	85332	511069	0.004473733370402496	0.9955262666295975	2.543099134630465	0.0	0.002217051239433292	0.9977829487605667	2.153622438681157	5.656365263516716e-162	0.00877214678505767	0.9912278532149423	7.6576342118092935	0.0	0.008328635657422557	0.9916713643425774	3.894426641195861	0.0
Simple_repeat	55639	19481	25797	1575482	2753713	15319369	0.08850730259574763	0.9114926974042523	1.7591644095419794	0.0	0.07642782770187666	0.9235721722981234	3.289391715216636	0.0	0.1606110822553651	0.8393889177446349	4.945181673447809	0.0	0.08867264302704486	0.9113273569729551	1.4111355683452476	0.0
Unknown	54766	14994	45900	2419955	2761392	12287127	0.10143736554023773	0.8985626344597623	2.3145024855340823	0.0	0.07522864199430215	0.9247713580056979	2.0767958289790434	0.0	0.1236180158789048	0.8763819841210952	3.6349802148993113	0.0	0.15777316412533857	0.8422268358746614	3.4334858108071593	0.0
rRNA	8	2	11	711	706	1898	1.841764375190206e-05	0.9999815823562481	2.086891129798602	0.002197468998843708	1.0989101558529328e-05	0.9999890108984415	0.9922736223003439	1.0	1.6488997716273818e-05	0.9999835110022838	1.7265069656770715	0.32284314547505905	3.78105622086868e-05	0.9999621894377914	4.731321152192355	3.321083916356897e-05
snRNA	114	22	20	2621	1700	7539	0.00013681678215698672	0.9998631832178431	4.333566690811484	4.4962297164472765e-49	0.00015659469720904294	0.9998434053027909	3.8361820681142924	2.127410702462904e-31	0.000181378974879012	0.999818621025121	7.888284721578846	4.4042209153183714e-13	6.874647674306692e-05	0.999931253523257	2.165735042722977	0.0015315008156241323
sum_repeats	183298	47255	117521	11065367	14418738	74039553	0.3052715681571218	0.6947284318428782	1.2189915274081105	0.0	0.2517850421844136	0.7482149578155864	1.6159208261124323	0.0	0.3895937935412596	0.6104062064587404	2.6339599532652733	0.0	0.40395773466609836	0.5960422653339016	1.496207030540358	0.0
not_repeats	544696	74038	173403	53135205	59503612	163454397																	
